Route,Direction,StopCode,Stop,Ons,Offs,Load,Pass_Mi,Lat,Long,Ridership
16,Northbound,515,15th St & Market St,489,0,22,122.9,39.952796,-75.165359,489
16,Northbound,15455,Broad St & 65th Av,6,22,25,88,40.051963,-75.141777,28
16,Northbound,15463,Broad St & 66th Av,46,100,24,107.4,40.053462,-75.141418,146
16,Northbound,15465,Broad St & 67th Av - FS,11,50,23,64.1,40.0554,-75.141014,61
16,Northbound,15468,Broad St & 68th Av,9,45,21,75.7,40.056632,-75.140777,54
16,Northbound,17330,Broad St & 69th Av,13,33,20,73.7,40.058147,-75.140441,46
16,Northbound,17332,Broad St & 70th Av,9,29,21,67.3,40.059673,-75.140129,38
16,Northbound,15471,Broad St & 71st Av,8,44,20,93,40.061119,-75.139801,52
16,Northbound,17317,Broad St & Albert Einstein Dr,1,18,27,130,40.036632,-75.145156,19
16,Northbound,165,Broad St & Allegheny Av,180,123,35,171.4,40.001464,-75.152793,303
16,Northbound,17261,Broad St & Arch St,196,14,31,106.9,39.954299,-75.163047,210
16,Northbound,17269,Broad St & Brown St,27,17,32,62,39.967998,-75.160064,44
16,Northbound,17301,Broad St & Butler St - FS,26,7,34,109.8,40.01099,-75.150756,33
16,Northbound,17264,Broad St & Callowhill St - FS,17,6,31,150.9,39.959678,-75.161895,23
16,Northbound,31383,Broad St & Cayuga St - FS,5,36,31,98.5,40.020431,-75.148681,41
16,Northbound,17277,Broad St & Cecil B Moore Av,149,72,36,159.7,39.978504,-75.157814,221
16,Northbound,17321,Broad St & Champlost Av,20,39,27,86.1,40.044357,-75.14347,59
16,Northbound,15454,Broad St & Chelten Av,7,43,25,88.6,40.050491,-75.142127,50
16,Northbound,17334,Broad St & Cheltenham Av,24,100,18,59.4,40.063194,-75.139282,124
16,Northbound,17297,Broad St & Clearfield St - FS,0,0,35,115.7,40.000152,-75.153099,0
16,Northbound,28697,Broad St & Courtland St - FS,8,12,29,110.4,40.023094,-75.148086,20
16,Northbound,17286,Broad St & Cumberland St,17,23,35,132,39.99076,-75.155136,40
16,Northbound,17283,Broad St & Dauphin St,52,13,36,129.9,39.987758,-75.155799,65
16,Northbound,17281,Broad St & Diamond St - FS,13,26,35,110.8,39.984855,-75.15644,39
16,Northbound,17314,Broad St & Duncannon Av,16,28,29,124,40.032089,-75.146156,44
16,Northbound,30285,Broad St & Erie Av - FS,192,232,34,140.6,40.009395,-75.151107,424
16,Northbound,17315,Broad St & Fisher Av,16,23,28,120.7,40.03363,-75.145805,39
16,Northbound,164,Broad St & Girard Av,155,60,33,141.2,39.971282,-75.159332,215
16,Northbound,17291,Broad St & Glenwood Av,39,30,34,159.4,39.996673,-75.153846,69
16,Northbound,17323,Broad St & Godfrey Av,33,55,27,98.5,40.047351,-75.142791,88
16,Northbound,17319,Broad St & Grange St,35,42,28,102.5,40.041294,-75.144134,77
16,Northbound,17266,Broad St & Green St,9,7,32,117.8,39.963668,-75.161056,16
16,Northbound,17304,Broad St & Hunting Park Av,23,58,32,92.9,40.016815,-75.149475,81
16,Northbound,17287,Broad St & Huntingdon St,16,20,35,129.9,39.992267,-75.154815,36
16,Northbound,17296,Broad St & Indiana Av,28,38,35,151.4,39.998447,-75.153457,66
16,Northbound,17275,Broad St & Jefferson St,25,40,32,108.8,39.975742,-75.158363,65
16,Northbound,17288,Broad St & Lehigh Av,134,110,34,147.6,39.993766,-75.154525,244
16,Northbound,17313,Broad St & Lindley Av,94,52,29,127.6,40.030529,-75.146499,146
16,Northbound,17310,Broad St & Loudon St,24,28,29,119.8,40.026058,-75.147468,52
16,Northbound,17303,Broad St & Lycoming St - FS,6,40,33,122.4,40.015407,-75.149772,46
16,Northbound,17274,Broad St & Master St,15,17,32,107.9,39.97438,-75.15866,32
16,Northbound,17324,Broad St & Medary Av,5,14,26,97,40.048923,-75.142463,19
16,Northbound,17278,Broad St & Montgomery Av - FS,15,7,36,104.9,39.980377,-75.157424,22
16,Northbound,17320,Broad St & Nedro Av,11,28,27,107.3,40.042793,-75.143775,39
16,Northbound,17280,Broad St & Norris St,18,15,36,156,39.983043,-75.156829,33
16,Northbound,17298,Broad St & Ontario St - FS,43,70,34,110.2,40.004829,-75.152107,113
16,Northbound,17276,Broad St & Oxford St,72,48,33,110.3,39.977127,-75.158111,120
